cycle,warp,instruction,alu_op,rd,rs1,rs2,active_lanes,lane_operations
1,1,0x00086000,0000,0,2,3,32,32
2,2,0x00086000,0000,0,2,3,32,32
3,3,0x00086000,0000,0,2,3,32,32
4,0,0x10886000,0001,1,2,3,32,32
5,1,0x10886000,0001,1,2,3,32,32
6,2,0x10886000,0001,1,2,3,32,32
7,3,0x10886000,0001,1,2,3,32,32
8,0,0x21086000,0010,2,2,3,32,32
9,1,0x21086000,0010,2,2,3,32,32
10,2,0x21086000,0010,2,2,3,32,32
11,3,0x21086000,0010,2,2,3,32,32
12,0,0x31886000,0011,3,2,3,32,32
13,1,0x31886000,0011,3,2,3,32,32
14,2,0x31886000,0011,3,2,3,32,32
15,3,0x31886000,0011,3,2,3,32,32
16,0,0x42086000,0100,4,2,3,32,32
17,1,0x42086000,0100,4,2,3,32,32
18,2,0x42086000,0100,4,2,3,32,32
19,3,0x42086000,0100,4,2,3,32,32
20,0,0x52886000,0101,5,2,3,32,32
21,1,0x52886000,0101,5,2,3,32,32
22,2,0x52886000,0101,5,2,3,32,32
23,3,0x52886000,0101,5,2,3,32,32
24,0,0x63086000,0110,6,2,3,32,32
25,1,0x63086000,0110,6,2,3,32,32
26,2,0x63086000,0110,6,2,3,32,32
27,3,0x63086000,0110,6,2,3,32,32
28,0,0x73886000,0111,7,2,3,32,32
29,1,0x73886000,0111,7,2,3,32,32
30,2,0x73886000,0111,7,2,3,32,32
31,3,0x73886000,0111,7,2,3,32,32
32,0,0x84086000,1000,8,2,3,32,32
33,1,0x84086000,1000,8,2,3,32,32
34,2,0x84086000,1000,8,2,3,32,32
35,3,0x84086000,1000,8,2,3,32,32
36,0,0x94886000,1001,9,2,3,32,32
37,1,0x94886000,1001,9,2,3,32,32
38,2,0x94886000,1001,9,2,3,32,32
39,3,0x94886000,1001,9,2,3,32,32
40,0,0xa5086000,1010,10,2,3,32,32
41,1,0xa5086000,1010,10,2,3,32,32
42,2,0xa5086000,1010,10,2,3,32,32
43,3,0xa5086000,1010,10,2,3,32,32
44,0,0xb5886000,1011,11,2,3,32,32
45,1,0xb5886000,1011,11,2,3,32,32
46,2,0xb5886000,1011,11,2,3,32,32
47,3,0xb5886000,1011,11,2,3,32,32
48,0,0xc6086000,1100,12,2,3,32,32
49,1,0xc6086000,1100,12,2,3,32,32
50,2,0xc6086000,1100,12,2,3,32,32
51,3,0xc6086000,1100,12,2,3,32,32
52,0,0xd6886000,1101,13,2,3,32,32
53,1,0xd6886000,1101,13,2,3,32,32
54,2,0xd6886000,1101,13,2,3,32,32
55,3,0xd6886000,1101,13,2,3,32,32
56,0,0xe7086000,1110,14,2,3,32,32
57,1,0xe7086000,1110,14,2,3,32,32
58,2,0xe7086000,1110,14,2,3,32,32
59,3,0xe7086000,1110,14,2,3,32,32
60,0,0xf7886000,1111,15,2,3,32,32
61,1,0xf7886000,1111,15,2,3,32,32
62,2,0xf7886000,1111,15,2,3,32,32
63,3,0xf7886000,1111,15,2,3,32,32
64,0,0xxxxxxxxx,xxxx,x,x,x,32,32
65,1,0xxxxxxxxx,xxxx,x,x,x,32,32
66,2,0xxxxxxxxx,xxxx,x,x,x,32,32
67,3,0xxxxxxxxx,xxxx,x,x,x,32,32
68,0,0xxxxxxxxx,xxxx,x,x,x,32,32
69,1,0xxxxxxxxx,xxxx,x,x,x,32,32
70,2,0xxxxxxxxx,xxxx,x,x,x,32,32
71,3,0xxxxxxxxx,xxxx,x,x,x,32,32
72,0,0xxxxxxxxx,xxxx,x,x,x,32,32
73,1,0xxxxxxxxx,xxxx,x,x,x,32,32
74,2,0xxxxxxxxx,xxxx,x,x,x,32,32
75,3,0xxxxxxxxx,xxxx,x,x,x,32,32
76,0,0xxxxxxxxx,xxxx,x,x,x,32,32
77,1,0xxxxxxxxx,xxxx,x,x,x,32,32
78,2,0xxxxxxxxx,xxxx,x,x,x,32,32
79,3,0xxxxxxxxx,xxxx,x,x,x,32,32
80,0,0xxxxxxxxx,xxxx,x,x,x,32,32
81,1,0xxxxxxxxx,xxxx,x,x,x,32,32
82,2,0xxxxxxxxx,xxxx,x,x,x,32,32
83,3,0xxxxxxxxx,xxxx,x,x,x,32,32
84,0,0xxxxxxxxx,xxxx,x,x,x,32,32
85,1,0xxxxxxxxx,xxxx,x,x,x,32,32
86,2,0xxxxxxxxx,xxxx,x,x,x,32,32
87,3,0xxxxxxxxx,xxxx,x,x,x,32,32
88,0,0xxxxxxxxx,xxxx,x,x,x,32,32
89,1,0xxxxxxxxx,xxxx,x,x,x,32,32
90,2,0xxxxxxxxx,xxxx,x,x,x,32,32
91,3,0xxxxxxxxx,xxxx,x,x,x,32,32
92,0,0xxxxxxxxx,xxxx,x,x,x,32,32
93,1,0xxxxxxxxx,xxxx,x,x,x,32,32
94,2,0xxxxxxxxx,xxxx,x,x,x,32,32
95,3,0xxxxxxxxx,xxxx,x,x,x,32,32
96,0,0xxxxxxxxx,xxxx,x,x,x,32,32
97,1,0xxxxxxxxx,xxxx,x,x,x,32,32
98,2,0xxxxxxxxx,xxxx,x,x,x,32,32
99,3,0xxxxxxxxx,xxxx,x,x,x,32,32
100,0,0xxxxxxxxx,xxxx,x,x,x,32,32
